pi,ro,collab,institute,scope,collabing_pi
"Francisco  Pereira, PhD",Machine Learning Core,Corey James Richier,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Neda  Sadeghi, PhD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Jacob Steinberg Shaw,Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Megan Anne Spurney,Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Anna Lina  Teichmann,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH,"Audrey E Thurm, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Catherine Ruth Elizabeth Walsh,Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Shau-Ming  Wei,Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Anderson Marcelo Winkler,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Ma  Xiaoyu,Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Lu  Zhang,Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Andre  Zugman,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Hugo  Alatrista-salas, PhD","Devinci Research Center, De Vinci Research Center",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Kristen  Benito, PhD, MD","Brown University, Psychiatry and Human Behavior",EM,
"Francisco  Pereira, PhD",Machine Learning Core,Callum  Chan,"University of Ottawa, School of Electrical Engineering and Computer Science",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Martin  Hebart, PhD",Max Planck Institute for Human Cognitive and Brain Sciences,EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Quentin JM Huys, MD, PhD","University College London, Division of Psychiatry",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Diana  Inkpen, PhD","University of Ottawa, School of Electrical Engineering and Computer Science",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"David C Jangraw, PhD","University of Vermont, Department of Electrical and Biomedical Engineering",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Hanna  Keren, PhD","Bar-Ilan University, Azrieli Faculty of Medicine",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Karolin  Krause, PhD",Université Paris Cité,EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Lok ming  Lui, PhD","The Chinese University of Hong Kong, Mathematics",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Charles J Lynch, PhD","Weill Cornell Medicine, Department of Psychiatry",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Vasileios  Mantas, MD","National and Kapodistrian University of Athens, First Department of Psychiatry",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Nick  Midgley, PhD","University College London, Research Department of Clinical, Educational and Health Psychology",EM,
"Francisco  Pereira, PhD",Machine Learning Core,Lukas  Muttenthaler,"Technical University of Berlin, Machine Learning",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Per B Sederberg, PhD","University of Virginia, Department of Psychology",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Argyris  Stringaris, MD, PhD","University College London, Division of Psychiatry",EM,
"Francisco  Pereira, PhD",Machine Learning Core,Margot  Tirole,"University College London, Sainsbury Wellcome Centre",EM,
"Francisco  Pereira, PhD",Machine Learning Core,"Yeka  Aponte, PhD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Michael Howard Baumann, BS, MS, PhD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Joyce  Chung, MD",CC,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Bevil Richard Conway, PhD",NEI,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Diana Garcia Gutierrez,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Grant Christopher Glatfelter,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Bruce  Hope, PhD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Amy  Janes,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"David Michael Lovinger, PhD",NIAAA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Rajtarun  Madangopal, PhD, MS",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Alexander Dean Maitland,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Ido  Maor,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Ana Pamela  Miranda Tapia,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Laura Mary Melissa Murray,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Geoffrey Mark Schoenbaum, MD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,Rachel Lynn Weger,NCCIH,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Arash  Afraz, PhD","Unit on Neurons, Circuits and Behavior",NIMH,"Arash  Afraz, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Siani Monet Barbosa,Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Sean Paul Bradley, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH,"Heather A Cameron, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Kevin  Cravedi, MS",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Zhi-De  Deng, PhD",Unit on Non-invasive Neuromodulation,NIMH,"Carlos Alberto Zarate, MD"
"George Raphael Dold, MS",Section on Instrumentation,Alice Marie Graham,Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Jinsoo  Hong, MS, PhD",Section on PET Radiopharmaceutical Sciences,NIMH,"Victor W Pike, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"James M Pickel, PhD, AB",Transgenic Core,NIMH,"Susan G Amara, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,NIMH,"Victor W Pike, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"George Raphael Dold, MS",Section on Instrumentation,"Benjamin H White, PhD",Section on Neural Function,NIMH,"Benjamin H White, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Ma  Xiaoyu,Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Daniel T Abebe, MS",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Zane Nathan Aldworth, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Alexander Theodore Chesler, PhD",NCCIH,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Jeffrey S Diamond, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,Huayu  Ding,NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Stephen John Dodd, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Yi  Gu, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Miguel  Holmgren, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Alan Paul Koretsky, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Wei  Lu, PhD, BS",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Chris James McBain, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Hellmut  Merkle, PHD, MS",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Jeeva P Munasinghe, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Joseph  Murphy-Boesch, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Thomas J Pohida, MS",NIBIB,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Randall Harrison Pursley, MS",NIBIB,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Mark A Stopfer, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Kenton J Swartz, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Ling-Gang  Wu, PhD",NINDS,NIH,
"Heather A Cameron, PhD",Section on Neuroplasticity,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Heather A Cameron, PhD",Section on Neuroplasticity,"Dax A Hoffman, PhD",NICHD,NIH,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Andre  Berndt,University of Washington,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Bryan  Copits,Washington University of St. Louis,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Gregory  Corder,"University of Pennsylvania School of Medicine, School of Medicine",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Karl  Deisseroth,Stanford University,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Zachary Z Freyberg, MD,PhD","University of Pittsburgh, Department of Psychiatry",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Patrick  O'neill,"University of California, Los Angeles",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Gregory  Scherrer,University of North Carolina at Chapel Hill,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Michael  Tadross,"Duke University, Biomedical Engineering",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Lin  Tian,University of California Davis Medical Center,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Bryan  Copits,Washington University of St. Louis,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Patrick  O'neill,"University of California, Los Angeles",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Mark A Hoon, PhD",NIDCR,NIH,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Paule Valery Joseph, PhD, MSN, CRNP, MBA, RN",NIAAA,NIH,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Claire Eliane Le Pichon, PhD",NICHD,NIH,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Kareem Amir Zaghloul, MD, PhD, BS",NINDS,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,NIMH,"Tobias David Merson, BA, BSc(Hons), PhD"
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Xiaoyin  Chen,Allen Institute,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Gord  Fishell, PhD",Harvard University,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Robbe  Goris, PhD","UT Austin, Center for Theoretical and Computational Neuroscience",EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Jihane  Hommna-ludiye,Monash University,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Krystel  Huxlin,University of Rochester,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Cory  Miller,University of California - San Diego School of Medicine,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Ari  Molofsky,University of San Francisco,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Afonso  Silva, PhD",University of Pittsburgh,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Beth  Stevens,Harvard Medical School,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Diego  Szczupack,University of Pittsburgh School of Medicine,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Yating  Wang,Harvard Medical School,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Yimin  Zou,UCSD,EM,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Michael J Iadarola, PhD",CC,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Richard J Krauzlis, PhD",NEI,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,Vivek  Mahadevan,NICHD,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Chris James McBain, PhD",NICHD,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Kenneth  Pelkey, PhD",NICHD,NIH,
James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,"Timothy James Petros, PhD",NICHD,NIH,
Jennifer S Wong,Office of Technology Transfer,Susan E Ano,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Oksana Igorevna Dukhanina,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Olufunmilola Olufemi,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Smita A Sharma,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Sharon R Duncombe,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,"Anna  Solowiej, PhD",NHGRI,NIH,
Jennifer S Wong,Office of Technology Transfer,"Eggerton Anthony Campbell, PhD",NHGRI,NIH,
Jennifer S Wong,Office of Technology Transfer,"Sangeetha  Raghavan, MBA, MS",NHGRI,NIH,
Jennifer S Wong,Office of Technology Transfer,Karen  Surabian,NHGRI,NIH,
Jennifer S Wong,Office of Technology Transfer,Bao-Hanh  Ngo,NHGRI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,Vishwajit  Nimgaonkar,University of Pittsburgh Medical Center,EM,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Valerie Lillian Darcey, PhD, MS, RD, BA",NIDDK,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Mark Richard Gilbert, MD",NCI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Kevin Dennis Hall, BSc, PhD",NIDDK,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,Justin Y Kwan,NINDS,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Philip   Shaw, MD, PhD",NHGRI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Jing  Wu, PhD, MD",NCI,NIH,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bhaskar S Kolachana, PhD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Carolyn B Mervis,University of Louisville,EM,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Colleen A Morris,"University of Nevada, Las Vegas",EM,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Grisel Jamira Lopez, MD",NHGRI,NIH,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Ellen  Sidransky, MD",NHGRI,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Lisa Meryl Horowitz, PhD",Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Ian  Hickie, MD","University of Sydney, Brain and Mind Centre",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Femke  Lamers, PhD",VU University Medical Center,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Andrew  Leroux, PhD",University of Colorado Denver,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Alison  Merikangas, PhD",Children's Hospital of Philadelphia,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Martin  Preisig, MD, MPH",University of Lausanne,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Neil  Risch, PhD","University of California, San Francisco",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Haochang  Shou, PhD","University of Pennsylvania, Department of Biostatistics",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Peter  Szatmari, MD, MSc",Centre for Addiction and Mental Health,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Celine  Vetter, PhD","Munich, Germany",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Vadim  Zipunnikov, PhD",Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Lindsay  Alexander, MPH","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Hilary  Blumberg, MD, PhD","Yale University, School of Medicine",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Judy  Cameron, PhD",University of Pittsburgh,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Jennifer  Glaus, PhD",University of Lausanne,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Ian  Hickie, MD","University of Sydney, Brain and Mind Centre",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Arno  Klein, PhD",Child Mind Institute,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Femke  Lamers, PhD",VU University Medical Center,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Andrew  Leroux, PhD",University of Colorado Denver,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Nick  Martin, PhD",QIMR Berghofer Medical Research Institute,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Michael  Milham, MD, PhD","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Martin  Preisig, MD, MPH",University of Lausanne,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Giovanni  Salum, MD, PhD","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Jan  Scott, MD","Newcastle University, United Kingdom",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Haochang  Shou, PhD","University of Pennsylvania, Department of Biostatistics",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Marie-Pierre  Strippoli, MSc",University of Lausanne,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Peter  Szatmari, MD, MSc",Centre for Addiction and Mental Health,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Celine  Vetter, PhD","Munich, Germany",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Yao  Xiao, BS","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Phyllis  Zee, MD, PhD","Northwestern University Feinberg School of Medicine, Feinberg School of Medicine",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Jihui  Zhang, MD, PhD",Chinese University of Hong Kong,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Vadim  Zipunnikov, PhD",Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Susan Shur-fen Gau, MD, PhD",National Taiwan University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Katholiki  Georgiades, PhD","McMaster University, Psychiatry and Behavioral Neuroscience",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Michael  Milham, MD, PhD","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Giovanni  Salum, MD, PhD","Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Jihui  Zhang, MD, PhD",Chinese University of Hong Kong,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Kong Yin Chen, PhD",NIDDK,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Paule Valery Joseph, PhD, MSN, CRNP, MBA, RN",NIAAA,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Kong Yin Chen, PhD",NIDDK,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Paule Valery Joseph, PhD, MSN, CRNP, MBA, RN",NIAAA,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Nora D Volkow, MD",NIDA,NIH,
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Arash  Afraz, PhD","Unit on Neurons, Circuits and Behavior",NIMH,"Arash  Afraz, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Veronica Alicia Alvarez, PhD",Section on Neurobiology of Compulsive Behaviors,NIMH,"Veronica Alicia Alvarez, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH,James Andrew Bourne
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH,"Heather A Cameron, PhD"
